Date : 2026-05-06 15:56:17
Directory : /www/wwwroot/rackroom.local.host/rackroom
Total : 319 files,  61136 codes, 2605 comments, 5639 blanks, all 69380 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         13 |     24,043 |          0 |         12 |     24,055 |
| TypeScript JSX     |        101 |     22,218 |        399 |      1,543 |     24,160 |
| PHP                |        144 |      8,181 |      2,053 |      1,985 |     12,219 |
| Skill              |         25 |      2,920 |          0 |      1,180 |      4,100 |
| Markdown           |          8 |      2,092 |          8 |        719 |      2,819 |
| HTML               |          1 |        694 |          6 |         21 |        721 |
| Shell Script       |          3 |        315 |         34 |         59 |        408 |
| TypeScript         |         13 |        308 |         11 |         64 |        383 |
| PostCSS            |          1 |        123 |          0 |         21 |        144 |
| YAML               |          2 |         80 |          5 |         22 |        107 |
| JavaScript         |          1 |         69 |          1 |          2 |         72 |
| JSON with Comments |          4 |         54 |         88 |          9 |        151 |
| XML                |          2 |         38 |          0 |          2 |         40 |
| Ini                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |        319 |     61,136 |      2,605 |      5,639 |     69,380 |
| . (Files)                                                                                                                         |         21 |     24,676 |        103 |        654 |     25,433 |
| .agents                                                                                                                           |          5 |        584 |          0 |        236 |        820 |
| .agents/skills                                                                                                                    |          5 |        584 |          0 |        236 |        820 |
| .agents/skills/developing-with-fortify                                                                                            |          1 |         84 |          0 |         32 |        116 |
| .agents/skills/inertia-react-development                                                                                          |          1 |        270 |          0 |         99 |        369 |
| .agents/skills/pest-testing                                                                                                       |          1 |         81 |          0 |         41 |        122 |
| .agents/skills/tailwindcss-development                                                                                            |          1 |         92 |          0 |         32 |        124 |
| .agents/skills/wayfinder-development                                                                                              |          1 |         57 |          0 |         32 |         89 |
| .claude                                                                                                                           |          5 |        584 |          0 |        236 |        820 |
| .claude/skills                                                                                                                    |          5 |        584 |          0 |        236 |        820 |
| .claude/skills/developing-with-fortify                                                                                            |          1 |         84 |          0 |         32 |        116 |
| .claude/skills/inertia-react-development                                                                                          |          1 |        270 |          0 |         99 |        369 |
| .claude/skills/pest-testing                                                                                                       |          1 |         81 |          0 |         41 |        122 |
| .claude/skills/tailwindcss-development                                                                                            |          1 |         92 |          0 |         32 |        124 |
| .claude/skills/wayfinder-development                                                                                              |          1 |         57 |          0 |         32 |         89 |
| .cursor                                                                                                                           |          6 |        595 |          0 |        236 |        831 |
| .cursor (Files)                                                                                                                   |          1 |         11 |          0 |          0 |         11 |
| .cursor/skills                                                                                                                    |          5 |        584 |          0 |        236 |        820 |
| .cursor/skills/developing-with-fortify                                                                                            |          1 |         84 |          0 |         32 |        116 |
| .cursor/skills/inertia-react-development                                                                                          |          1 |        270 |          0 |         99 |        369 |
| .cursor/skills/pest-testing                                                                                                       |          1 |         81 |          0 |         41 |        122 |
| .cursor/skills/tailwindcss-development                                                                                            |          1 |         92 |          0 |         32 |        124 |
| .cursor/skills/wayfinder-development                                                                                              |          1 |         57 |          0 |         32 |         89 |
| .gemini                                                                                                                           |          1 |         11 |          0 |          0 |         11 |
| .github                                                                                                                           |          7 |        664 |          5 |        258 |        927 |
| .github/skills                                                                                                                    |          5 |        584 |          0 |        236 |        820 |
| .github/skills/developing-with-fortify                                                                                            |          1 |         84 |          0 |         32 |        116 |
| .github/skills/inertia-react-development                                                                                          |          1 |        270 |          0 |         99 |        369 |
| .github/skills/pest-testing                                                                                                       |          1 |         81 |          0 |         41 |        122 |
| .github/skills/tailwindcss-development                                                                                            |          1 |         92 |          0 |         32 |        124 |
| .github/skills/wayfinder-development                                                                                              |          1 |         57 |          0 |         32 |         89 |
| .github/workflows                                                                                                                 |          2 |         80 |          5 |         22 |        107 |
| .junie                                                                                                                            |          7 |        779 |          0 |        343 |      1,122 |
| .junie (Files)                                                                                                                    |          1 |        184 |          0 |        107 |        291 |
| .junie/mcp                                                                                                                        |          1 |         11 |          0 |          0 |         11 |
| .junie/skills                                                                                                                     |          5 |        584 |          0 |        236 |        820 |
| .junie/skills/developing-with-fortify                                                                                             |          1 |         84 |          0 |         32 |        116 |
| .junie/skills/inertia-react-development                                                                                           |          1 |        270 |          0 |         99 |        369 |
| .junie/skills/pest-testing                                                                                                        |          1 |         81 |          0 |         41 |        122 |
| .junie/skills/tailwindcss-development                                                                                             |          1 |         92 |          0 |         32 |        124 |
| .junie/skills/wayfinder-development                                                                                               |          1 |         57 |          0 |         32 |         89 |
| app                                                                                                                               |         62 |      5,638 |      1,015 |      1,258 |      7,911 |
| app/Actions                                                                                                                       |          2 |         52 |         11 |         14 |         77 |
| app/Actions/Fortify                                                                                                               |          2 |         52 |         11 |         14 |         77 |
| app/Concerns                                                                                                                      |          2 |         44 |         25 |         11 |         80 |
| app/Console                                                                                                                       |          3 |        549 |         58 |        143 |        750 |
| app/Console/Commands                                                                                                              |          3 |        549 |         58 |        143 |        750 |
| app/Events                                                                                                                        |          1 |         30 |          0 |         10 |         40 |
| app/Http                                                                                                                          |         34 |      3,963 |        603 |        835 |      5,401 |
| app/Http/Controllers                                                                                                              |         24 |      3,779 |        532 |        777 |      5,088 |
| app/Http/Controllers (Files)                                                                                                      |         21 |      3,693 |        511 |        752 |      4,956 |
| app/Http/Controllers/Settings                                                                                                     |          3 |         86 |         21 |         25 |        132 |
| app/Http/Middleware                                                                                                               |          6 |        123 |         48 |         37 |        208 |
| app/Http/Requests                                                                                                                 |          4 |         61 |         23 |         21 |        105 |
| app/Http/Requests/Settings                                                                                                        |          4 |         61 |         23 |         21 |        105 |
| app/Models                                                                                                                        |         15 |        605 |        185 |        143 |        933 |
| app/Notifications                                                                                                                 |          1 |         19 |          5 |          5 |         29 |
| app/Providers                                                                                                                     |          2 |        124 |         32 |         32 |        188 |
| app/Services                                                                                                                      |          2 |        252 |         96 |         65 |        413 |
| bootstrap                                                                                                                         |          2 |         41 |          1 |          7 |         49 |
| config                                                                                                                            |         14 |        660 |        735 |        261 |      1,656 |
| database                                                                                                                          |         30 |        783 |        194 |        134 |      1,111 |
| database/factories                                                                                                                |          3 |         78 |         25 |         16 |        119 |
| database/migrations                                                                                                               |         26 |        691 |        164 |        113 |        968 |
| database/seeders                                                                                                                  |          1 |         14 |          5 |          5 |         24 |
| lang                                                                                                                              |         12 |        150 |         24 |         21 |        195 |
| lang (Files)                                                                                                                      |          2 |         40 |          0 |          2 |         42 |
| lang/en                                                                                                                           |          5 |         55 |          8 |         10 |         73 |
| lang/zh                                                                                                                           |          5 |         55 |         16 |          9 |         80 |
| public                                                                                                                            |          3 |         14 |          4 |          8 |         26 |
| resources                                                                                                                         |        117 |     24,745 |        410 |      1,640 |     26,795 |
| resources/css                                                                                                                     |          1 |        123 |          0 |         21 |        144 |
| resources/js                                                                                                                      |        115 |     24,580 |        410 |      1,608 |     26,598 |
| resources/js (Files)                                                                                                              |          3 |         92 |         11 |         16 |        119 |
| resources/js/components                                                                                                           |         56 |      4,345 |         15 |        414 |      4,774 |
| resources/js/components (Files)                                                                                                   |         22 |      1,593 |          2 |        113 |      1,708 |
| resources/js/components/ui                                                                                                        |         34 |      2,752 |         13 |        301 |      3,066 |
| resources/js/hooks                                                                                                                |          9 |        349 |          6 |        104 |        459 |
| resources/js/layouts                                                                                                              |          8 |        266 |          1 |         24 |        291 |
| resources/js/layouts (Files)                                                                                                      |          2 |         24 |          0 |          4 |         28 |
| resources/js/layouts/app                                                                                                          |          2 |         34 |          0 |          4 |         38 |
| resources/js/layouts/auth                                                                                                         |          3 |        124 |          0 |          9 |        133 |
| resources/js/layouts/settings                                                                                                     |          1 |         84 |          1 |          7 |         92 |
| resources/js/lib                                                                                                                  |          2 |         37 |         15 |          7 |         59 |
